Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26/10/2011,EQ,1105.00,1110.00,1093.35,1098.65,1095.00,1095.90,1098.49,1246.95,902.00,205962.00,226247633.70,7369.00
28/10/2011,EQ,1129.00,1139.10,1111.00,1095.90,1121.70,1121.50,1123.07,1246.95,902.00,1629558.00,1830104649.55,53248.00
31/10/2011,EQ,1120.00,1132.00,1112.00,1121.50,1117.00,1115.80,1120.52,1246.95,902.00,889370.00,996554570.20,31382.00
01/11/2011,EQ,1108.00,1123.00,1096.25,1115.80,1107.55,1108.45,1108.08,1246.95,902.00,729105.00,807908626.95,33590.00
02/11/2011,EQ,1101.25,1121.85,1100.00,1108.45,1104.35,1106.85,1112.71,1246.95,902.00,775422.00,862819804.25,24109.00
03/11/2011,EQ,1097.80,1109.40,1087.00,1106.85,1103.50,1105.00,1097.91,1246.95,902.00,945634.00,1038217511.60,29241.00
04/11/2011,EQ,1121.00,1125.00,1087.20,1105.00,1099.25,1099.80,1103.18,1246.95,902.00,1358004.00,1498124335.10,51114.00
08/11/2011,EQ,1096.00,1114.80,1096.00,1099.80,1101.90,1105.25,1108.37,1246.95,902.00,846052.00,937742289.75,33745.00
09/11/2011,EQ,1110.00,1146.00,1106.30,1105.25,1125.00,1122.95,1126.84,1246.95,902.00,1960990.00,2209720207.00,59923.00
11/11/2011,EQ,1110.00,1141.00,1107.25,1122.95,1134.40,1131.00,1130.57,1246.95,902.00,1814795.00,2051757178.90,53023.00
14/11/2011,EQ,1140.00,1156.00,1124.50,1131.00,1127.00,1128.40,1143.56,1246.95,902.00,1164575.00,1331764024.00,36357.00
15/11/2011,EQ,1125.05,1138.95,1120.00,1128.40,1123.00,1124.40,1129.96,1246.95,902.00,734239.00,829660836.05,35819.00
16/11/2011,EQ,1126.00,1132.80,1105.20,1124.40,1125.00,1117.25,1118.17,1246.95,902.00,935801.00,1046380739.80,40087.00
17/11/2011,EQ,1115.00,1123.50,1107.60,1117.25,1118.00,1115.15,1116.47,1246.95,902.00,695994.00,777055945.55,33394.00
18/11/2011,EQ,1105.75,1109.80,1076.30,1115.15,1090.00,1086.60,1092.51,1246.95,902.00,1394721.00,1523748446.10,54395.00
21/11/2011,EQ,1085.00,1088.30,1060.10,1086.60,1065.00,1067.20,1067.84,1246.95,902.00,1435852.00,1533258767.45,50749.00
22/11/2011,EQ,1068.90,1095.00,1057.00,1067.20,1081.45,1081.85,1081.26,1246.95,902.00,1861791.00,2013086676.35,52072.00
23/11/2011,EQ,1081.95,1081.95,1041.00,1081.85,1062.00,1062.30,1059.76,1246.95,902.00,1177875.00,1248265339.25,49846.00
24/11/2011,EQ,1062.00,1096.40,1045.00,1062.30,1088.50,1091.80,1068.51,1246.95,902.00,1883422.00,2012456712.35,47759.00
25/11/2011,EQ,1085.00,1087.90,1057.10,1091.80,1061.00,1063.90,1068.07,1246.95,902.00,1070302.00,1143159292.20,32476.00
28/11/2011,EQ,1077.95,1096.00,1074.00,1063.90,1090.00,1088.50,1086.62,1246.95,902.00,752243.00,817399978.80,23754.00
29/11/2011,EQ,1093.00,1105.90,1086.20,1088.50,1095.00,1093.30,1094.18,1246.95,902.00,1277348.00,1397644226.30,39342.00
30/11/2011,EQ,1081.15,1122.95,1081.15,1093.30,1112.70,1115.55,1105.38,1246.95,902.00,1740849.00,1924293053.45,51798.00
01/12/2011,EQ,1140.00,1148.55,1126.20,1115.55,1134.85,1134.80,1134.30,1246.95,902.00,1240724.00,1407353023.70,36547.00
02/12/2011,EQ,1134.85,1185.00,1129.60,1134.80,1178.50,1178.00,1157.20,1246.95,902.00,1984433.00,2296378188.45,67770.00
05/12/2011,EQ,1172.50,1183.90,1162.55,1178.00,1180.00,1180.95,1176.00,1246.95,902.00,765238.00,899920558.95,27355.00
07/12/2011,EQ,1180.00,1192.90,1173.60,1180.95,1178.90,1179.55,1184.04,1246.95,902.00,1318711.00,1561411938.45,53045.00
08/12/2011,EQ,1170.00,1189.00,1167.15,1179.55,1172.35,1177.60,1179.03,1246.95,902.00,1663222.00,1960996561.40,59937.00
09/12/2011,EQ,1161.00,1182.80,1161.00,1177.60,1164.00,1172.40,1173.32,1246.95,902.00,1381615.00,1621078124.65,50999.00
12/12/2011,EQ,1176.00,1190.00,1155.10,1172.40,1186.50,1180.35,1174.60,1246.95,902.00,1586085.00,1863010384.60,42626.00
13/12/2011,EQ,1175.00,1196.90,1166.65,1180.35,1180.60,1178.70,1181.28,1246.95,902.00,1637279.00,1934082380.40,71385.00
14/12/2011,EQ,1180.50,1189.00,1170.00,1178.70,1180.50,1182.45,1179.92,1246.95,902.00,1673088.00,1974104592.95,50577.00
15/12/2011,EQ,1179.70,1189.90,1154.60,1182.45,1182.00,1182.50,1174.03,1246.95,902.00,1834686.00,2153972137.20,49265.00
16/12/2011,EQ,1176.55,1182.55,1132.30,1182.50,1151.00,1146.30,1161.00,1246.95,902.00,1775448.00,2061293969.10,64103.00
19/12/2011,EQ,1139.00,1157.40,1114.40,1146.30,1139.20,1143.65,1129.84,1246.95,902.00,1833862.00,2071979589.80,61069.00
20/12/2011,EQ,1145.35,1151.10,1128.25,1143.65,1138.00,1133.35,1140.12,1246.95,902.00,904698.00,1031466084.90,28995.00
21/12/2011,EQ,1150.00,1166.00,1122.45,1133.35,1158.05,1158.70,1144.70,1246.95,902.00,1558488.00,1784006788.05,53892.00
22/12/2011,EQ,1152.00,1163.85,1134.25,1158.70,1147.95,1151.70,1147.52,1246.95,902.00,1043134.00,1197017865.35,35073.00
23/12/2011,EQ,1151.00,1162.00,1139.10,1151.70,1158.25,1157.15,1150.65,1246.95,902.00,789295.00,908203899.60,29190.00
26/12/2011,EQ,1157.15,1190.20,1153.50,1157.15,1189.90,1188.40,1180.71,1246.95,902.00,1114676.00,1316113826.15,30699.00
27/12/2011,EQ,1185.40,1190.00,1170.00,1188.40,1178.00,1179.45,1180.54,1246.95,902.00,491951.00,580765567.05,19911.00
28/12/2011,EQ,1178.70,1183.55,1165.90,1179.45,1169.00,1169.20,1173.47,1246.95,902.00,598955.00,702857906.50,21796.00
29/12/2011,EQ,1163.50,1178.10,1159.50,1169.20,1165.00,1165.70,1166.48,1246.95,902.00,792864.00,924860793.70,23865.00
30/12/2011,EQ,1178.00,1182.50,1156.50,1165.70,1156.95,1160.65,1170.42,1246.95,902.00,772705.00,904393040.95,35134.00
02/01/2012,EQ,1161.00,1185.95,1153.00,1160.65,1177.90,1178.60,1173.10,1246.95,902.00,1124271.00,1318876711.85,36353.00
03/01/2012,EQ,1183.25,1209.90,1180.00,1178.60,1197.00,1197.60,1199.44,1246.95,902.00,1354442.00,1624578424.90,55143.00
04/01/2012,EQ,1204.90,1205.00,1169.30,1197.60,1170.75,1173.00,1185.00,1246.95,902.00,1193385.00,1414159903.60,44225.00
05/01/2012,EQ,1172.80,1185.00,1167.35,1173.00,1171.20,1172.00,1175.53,1246.95,902.00,1273656.00,1497225057.30,37736.00
06/01/2012,EQ,1166.00,1188.35,1156.80,1172.00,1170.95,1169.40,1169.03,1246.95,902.00,1059864.00,1239010034.90,37310.00
07/01/2012,EQ,1170.00,1178.75,1170.00,1169.40,1172.00,1172.50,1173.74,1246.95,902.00,67051.00,78700568.25,2497.00
09/01/2012,EQ,1171.00,1179.70,1165.25,1172.50,1172.30,1171.35,1172.89,1246.95,902.00,754514.00,884959515.95,22071.00
10/01/2012,EQ,1175.00,1185.50,1158.50,1171.35,1168.00,1165.40,1167.80,1246.95,902.00,1795895.00,2097239905.95,44885.00
11/01/2012,EQ,1171.40,1175.00,1133.15,1165.40,1135.55,1137.00,1147.96,1246.95,902.00,2837690.00,3257563154.65,86738.00
12/01/2012,EQ,1101.00,1115.00,1068.65,1137.00,1096.35,1089.50,1087.96,1246.95,902.00,4764342.00,5183398650.95,123967.00
13/01/2012,EQ,1097.15,1103.35,1073.00,1089.50,1085.45,1085.75,1084.61,1246.95,902.00,2009914.00,2179963466.70,73329.00
16/01/2012,EQ,1084.00,1114.00,1078.90,1085.75,1108.80,1109.40,1104.53,1246.95,902.00,1523601.00,1682863237.55,55600.00
17/01/2012,EQ,1119.90,1124.70,1094.00,1109.40,1105.25,1103.95,1105.76,1246.95,902.00,1852109.00,2047993736.20,72226.00
18/01/2012,EQ,1080.00,1096.30,1045.30,1103.95,1073.00,1076.15,1073.82,1246.95,902.00,5832766.00,6263368057.45,173628.00
19/01/2012,EQ,1087.00,1088.90,1065.40,1076.15,1075.00,1075.55,1073.09,1246.95,902.00,2081646.00,2233784640.20,66009.00
20/01/2012,EQ,1079.95,1090.95,1073.00,1075.55,1076.55,1079.50,1082.09,1246.95,902.00,1286347.00,1391939800.65,56002.00
23/01/2012,EQ,1086.00,1091.45,1074.15,1079.50,1076.25,1077.70,1082.71,1246.95,902.00,1065248.00,1153354698.10,33147.00
24/01/2012,EQ,1088.00,1095.00,1078.00,1077.70,1085.55,1088.70,1087.21,1246.95,902.00,1320655.00,1435829008.80,40091.00
25/01/2012,EQ,1094.90,1109.95,1091.05,1088.70,1095.20,1098.00,1102.39,1246.95,902.00,2922619.00,3221879756.00,86136.00
27/01/2012,EQ,1105.00,1120.55,1100.10,1098.00,1108.70,1108.75,1111.25,1246.95,902.00,2604859.00,2894660972.95,73983.00
30/01/2012,EQ,1102.50,1118.95,1100.75,1108.75,1112.25,1111.75,1112.97,1246.95,902.00,1297779.00,1444383802.65,48696.00
31/01/2012,EQ,1113.00,1135.90,1113.00,1111.75,1131.00,1132.40,1127.93,1246.95,902.00,1769060.00,1995368095.00,59186.00
01/02/2012,EQ,1129.40,1135.00,1108.25,1132.40,1131.00,1128.70,1120.32,1246.95,902.00,1144402.00,1282099207.75,55158.00
02/02/2012,EQ,1136.00,1152.65,1130.30,1128.70,1150.00,1148.00,1143.42,1246.95,902.00,1693070.00,1935887863.80,76570.00
03/02/2012,EQ,1145.00,1176.00,1141.00,1148.00,1169.70,1171.55,1159.52,1246.95,902.00,1388779.00,1610315684.00,53724.00
06/02/2012,EQ,1183.70,1200.05,1173.35,1171.55,1197.60,1193.85,1189.08,1246.95,902.00,1713598.00,2037597186.55,59454.00
07/02/2012,EQ,1209.70,1209.70,1191.90,1193.85,1201.00,1198.00,1201.75,1246.95,902.00,1703828.00,2047578060.60,48716.00
08/02/2012,EQ,1216.40,1226.85,1211.00,1198.00,1220.00,1219.65,1220.89,1246.95,902.00,1813592.00,2214191390.35,50112.00
09/02/2012,EQ,1211.10,1232.00,1188.00,1219.65,1229.95,1228.60,1214.03,1246.95,902.00,1519031.00,1844143491.95,45299.00
10/02/2012,EQ,1228.00,1238.00,1212.00,1228.60,1228.00,1233.40,1225.77,1246.95,902.00,1162151.00,1424529594.55,39720.00
13/02/2012,EQ,1222.20,1237.95,1214.00,1233.40,1228.00,1225.70,1223.18,1246.95,902.00,815885.00,997975953.75,37613.00
14/02/2012,EQ,1225.00,1229.55,1215.00,1225.70,1221.00,1220.00,1221.34,1246.95,902.00,913323.00,1115475030.65,36970.00
15/02/2012,EQ,1227.15,1248.80,1219.50,1220.00,1238.20,1241.60,1238.88,1248.80,902.00,1083583.00,1342425176.20,50103.00
16/02/2012,EQ,1238.00,1242.00,1218.00,1241.60,1222.30,1225.35,1228.62,1248.80,902.00,943330.00,1158998060.00,33538.00
17/02/2012,EQ,1234.85,1254.00,1221.00,1225.35,1225.35,1228.75,1236.33,1254.00,902.00,2048284.00,2532356658.50,73333.00
21/02/2012,EQ,1223.55,1240.00,1204.75,1228.75,1235.95,1237.05,1223.68,1254.00,902.00,1244752.00,1523183597.90,46041.00
22/02/2012,EQ,1235.00,1266.85,1229.00,1237.05,1246.20,1252.35,1253.35,1266.85,902.00,1570913.00,1968900831.95,57649.00
23/02/2012,EQ,1249.05,1274.90,1244.00,1252.35,1254.30,1259.80,1258.53,1274.90,902.00,2043440.00,2571729736.30,55428.00
24/02/2012,EQ,1259.00,1280.85,1257.25,1259.80,1268.00,1270.00,1272.33,1280.85,902.00,1173200.00,1492698420.65,40589.00
27/02/2012,EQ,1279.00,1279.95,1245.60,1270.00,1250.00,1252.05,1264.81,1280.85,902.00,930685.00,1177140057.35,43823.00
28/02/2012,EQ,1255.25,1260.40,1219.10,1252.05,1227.60,1226.55,1229.19,1280.85,902.00,1986745.00,2442096918.95,87425.00
29/02/2012,EQ,1240.00,1240.00,1212.25,1226.55,1220.90,1221.95,1225.44,1280.85,902.00,1530108.00,1875052754.15,61892.00
01/03/2012,EQ,1223.00,1226.95,1210.05,1221.95,1219.00,1219.60,1218.15,1280.85,902.00,784297.00,955393337.00,28846.00
02/03/2012,EQ,1226.00,1227.00,1207.00,1219.60,1219.00,1217.25,1215.55,1280.85,902.00,1154616.00,1403494429.50,59833.00
